,מס' נייר / סימבול,שם נייר,סטטוס,כמות נוכחית,שער נוכחי (מקור),עלות היסטורית כוללת (שקלים),עלות ממוצעת למניה (שקלים),שווי נוכחי כולל (שקלים),רווח/הפסד לא ממומש (שקלים),רווח/הפסד ממומש ממימושים (שקלים)
0,NVDA,NVIDIA(NVDA),פעיל,20.0,196.42,10593.52,529.68,11716.85,1123.32,0.0
1,1183441,אינ.חוץS&P500,פעיל,600.0,44.7,25093.78,41.82,26820.0,1726.22,3179.93
2,MSFT,MICROSOFT(MSFT),פעיל,3.0,387.32,4848.75,1616.25,3465.66,-1383.09,0.0
3,GOOGL,ALPHABET(GOOGL),פעיל,30.0,361.98,19568.25,652.27,32389.25,12821.0,0.0
4,TSLA,TESLA MOT(TSLA),פעיל,6.0,430.87,5126.25,854.38,7710.68,2584.43,0.0
5,AAPL,AAPLE COM(AAPL),פעיל,6.0,296.33,4928.29,821.38,5303.0,374.72,0.0
6,META,META US,פעיל,6.0,623.98,13414.31,2235.72,11166.5,-2247.82,0.0
7,GE,GENERAL ELEC(GE,נמכר לחלוטין,0.0,,0.0,,0.0,0.0,56.62
8,MAGS,MAGS US,נמכר לחלוטין,0.0,,0.0,,0.0,0.0,-0.83
9,TSM,TAIWAN SEMI(TSM,נמכר לחלוטין,0.0,,0.0,,0.0,0.0,259.5
10,AMZN,אמאזון     AMZN,פעיל,30.0,242.08,23332.69,777.76,21660.83,-1671.85,0.0
11,PLTR,PLTR US,נמכר לחלוטין,0.0,,0.0,,0.0,0.0,1666.5
12,LMT,LOCKHEED(LMT),פעיל,1.0,517.7,2027.25,2027.25,1544.09,-483.16,0.0
13,LMND,LMND US,נמכר לחלוטין,0.0,,0.0,,0.0,0.0,-18.75
14,RTX,RTX US,נמכר לחלוטין,0.0,,0.0,,0.0,0.0,241.72
15,IWM,RUSSELL2000(IWM,פעיל,2.0,302.3,1700.92,850.46,1803.28,102.35,0.0
16,INTC,INTEL (INTC),נמכר לחלוטין,0.0,,0.0,,0.0,0.0,-11.4
17,MU,MICRON(MU),נמכר לחלוטין,0.0,,0.0,,0.0,0.0,382.5
18,ASML,ASML HOL(ASML),פעיל,1.0,1873.27,3270.0,3270.0,5587.22,2317.22,0.0
19,99028,דיב/    AAPL US,נמכר לחלוטין,0.0,,0.0,,0.0,0.0,0.0
